Year,Month,Day,Count
2024,4,22,"4,495"
2024,4,23,"3,977"
2024,4,24,"4,166"
2024,4,25,"4,899"
2024,4,26,"4,390"
2024,4,27,"5,372"
2024,4,28,"4,091"
2024,4,29,"5,757"
2024,4,30,"4,054"
2024,5,1,"5,119"
2024,5,2,"4,348"
2024,5,3,"4,090"
2024,5,4,"4,105"
2024,5,5,"4,382"
2024,5,6,"3,646"
2024,5,7,"2,836"
2024,5,8,"3,106"
2024,5,9,"3,583"
2024,5,10,"3,980"
2024,5,11,"3,648"
2024,5,12,"3,199"
2024,5,13,"3,125"
2024,5,14,"3,072"
2024,5,15,"5,781"
2024,5,16,"3,699"
2024,5,17,"4,005"
2024,5,18,"3,997"
2024,5,19,"3,191"
2024,5,20,"3,434"
2024,5,21,"3,085"
2024,5,22,"2,750"
2024,5,23,"3,554"
2024,5,24,"4,180"
2024,5,25,"3,842"
2024,5,26,"3,133"
2024,5,27,"3,140"
2024,5,28,"2,639"
2024,5,29,"2,739"
2024,5,30,"3,257"
2024,5,31,"3,463"
2024,6,1,"3,374"
2024,6,2,"3,312"
2024,6,3,"3,199"
2024,6,4,"3,035"
2024,6,5,"2,746"
2024,6,6,"3,376"
2024,6,7,"3,713"
2024,6,8,"3,495"
2024,6,9,"3,035"
2024,6,10,"3,132"
2024,6,11,"2,895"
2024,6,12,"3,224"
2024,6,13,"4,691"
2024,6,14,"5,602"
2024,6,15,"5,824"
2024,6,16,"4,180"
2024,6,17,"3,779"
2024,6,18,"3,910"
2024,6,19,"3,303"
2024,6,20,"3,893"
2024,6,21,"3,734"
2024,6,22,"3,578"
2024,6,23,"3,353"
2024,6,24,"3,741"
2024,6,25,"3,542"
2024,6,26,"3,349"
2024,6,27,"4,357"
2024,6,28,"4,749"
2024,6,29,"4,942"
2024,6,30,"4,407"
2024,7,1,"5,135"
2024,7,2,"5,047"
2024,7,3,"4,886"
2024,7,4,"6,232"
2024,7,5,"6,835"
2024,7,6,"7,550"
2024,7,7,"7,518"
2024,7,8,"6,937"
2024,7,9,"5,953"
2024,7,10,"5,014"
2024,7,11,"6,040"
2024,7,12,"5,926"
2024,7,13,"6,021"
2024,7,14,"6,549"
2024,7,15,"5,970"
2024,7,16,"5,418"
2024,7,17,"6,296"
2024,7,18,"6,383"
2024,7,19,"6,406"
2024,7,20,"6,335"
2024,7,21,"5,841"
2024,7,22,"6,293"
2024,7,23,"5,729"
2024,7,24,"5,994"
2024,7,25,"6,332"
2024,7,26,"6,235"
2024,7,27,"6,135"
2024,7,28,"6,082"
2024,7,29,"6,209"
2024,7,30,"5,565"
2024,7,31,"4,944"
2024,8,1,"6,751"
2024,8,2,"6,593"
2024,8,3,"7,191"
2024,8,4,"6,354"
2024,8,5,"6,486"
2024,8,6,"6,844"
2024,8,7,"6,398"
2024,8,8,"6,533"
2024,8,9,"6,621"
2024,8,10,"7,200"
2024,8,11,"6,402"
2024,8,12,"5,850"
2024,8,13,"5,689"
2024,8,14,"6,721"
2024,8,15,"6,986"
2024,8,16,"5,275"
2024,8,17,"5,265"
2024,8,18,"4,525"
2024,8,19,"4,139"
2024,8,20,"4,525"
2024,8,21,"4,623"
2024,8,22,"4,624"
2024,8,23,"4,242"
2024,8,24,"4,089"
2024,8,25,"3,694"
2024,8,26,"3,501"
2024,8,27,"3,375"
2024,8,28,"2,804"
2024,8,29,"3,649"
2024,8,30,"3,842"
2024,8,31,"3,818"
2024,9,1,"3,877"
2024,9,2,"4,303"
2024,9,3,"4,246"
2024,9,4,"4,868"
2024,9,5,"3,779"
2024,9,6,"4,050"
2024,9,7,"4,116"
2024,9,8,"3,866"
2024,9,9,"4,076"
2024,9,10,"4,176"
2024,9,11,"3,619"
2024,9,12,"4,228"
2024,9,13,"5,338"
2024,9,14,"4,754"
2024,9,15,"3,658"
2024,9,16,"3,860"
2024,9,17,"3,863"
2024,9,18,"3,099"
2024,9,19,"3,561"
2024,9,20,"4,042"
2024,9,21,"3,987"
2024,9,22,"3,510"
2024,9,23,"3,763"
2024,9,24,"3,944"
2024,9,25,"3,372"
2024,9,26,"4,284"
2024,9,27,"4,814"
2024,9,28,"4,963"
2024,9,29,"3,994"
2024,9,30,"4,130"
2024,10,1,"4,531"
2024,10,2,"4,375"
2024,10,3,"4,269"
2024,10,4,"4,503"
2024,10,5,"4,280"
2024,10,6,"4,007"
2024,10,7,"3,849"
2024,10,8,"3,693"
2024,10,9,"3,369"
2024,10,10,"4,404"
2024,10,11,"5,024"
2024,10,12,"4,859"
2024,10,13,"4,189"
2024,10,14,"4,565"
2024,10,15,"3,573"
2024,10,16,"3,352"
2024,10,17,"4,385"
2024,10,18,"5,396"
2024,10,19,"5,166"
2024,10,20,"4,046"
2024,10,21,"4,833"
2024,10,22,"4,081"
2024,10,23,"3,871"
2024,10,24,"4,213"
2024,10,25,"5,556"
2024,10,26,"4,800"
2024,10,27,"3,951"
2024,10,28,"4,604"
2024,10,29,"4,174"
2024,10,30,"4,876"
2024,10,31,"5,113"
2024,11,1,"6,606"
2024,11,2,"6,423"
2024,11,3,"6,175"
2024,11,4,"6,304"
2024,11,5,"5,111"
